name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Seung Hui Cho,fuck,jesus,christ,never,like,life,enough,weak,kill,know,defenseless,say,single,blood,every,last,pain,innocent,somebody,take,one,rape,shit,give,about,human,soul,heart,world,satan,ounce,die,people,before,done,right,hell,breath,felt,time,through,descendants,victim,today,class,new,death,money,ishmael,own,power,home,feel,get,create,go,pretend,may,good,devout,sadistic,want,terrorism,wicked,already,nothing,eat,clean,inspire,lie,conversation,poor,school,wrath,start,slate,ask,show,hour,again,vendetta,cognac,begin,spread,america,cross,little,john,dog,strike,down,back,turn,steal,come,long,minute,spare,day,truth
TJ Lane,castle,through,world,feel,pain,death,time,god,one,another,orgy,foot,job,even,keep,company,solely,sod,nothing,long,wriggle,quaint,man,seizure,laboratory,make,fragile,own,family,blood,town,rude,chest,home,shallow,improper,please,here,back,might,simply,care,about,consist,vermin,however,breeze,sheep,every,oh,like,alone,crown,around,chamber,dismal,better,odd,fall,sandbox,good,sheet,die,cradle,enemy,street,run,secret,fear,repulsive,away,mercy,wretched,rest,eradication,renaissance,conceited,pestilence,bow,confide,sincere,filthy,beneath,ominous,scythe,breath,stay,mud,story,selfish,writhe,frown,disease,never,vain,smaller,winner,lonely,want,bay
Wellington De Oliveira,grave,take,impure,first,touch,care,sheet,sleep,after,contact,need,name,automatically,consideration,some,want,request,house,ask,direct,virgin,otherwise,work,prove,marriage,protection,nothing,coffin,next,possible,naked,feed,cemetery,return,totally,please,front,advantage,eternal,follower,de,room,put,adultery,very,able,burial,jesus,more,know,dry,must,once,adulterer,family,final,pass,wrap,property,generous,space,human,blood,people,chastity,sense,death,forgiveness,permission,mom,least,abide,god,wash,common,poor,much,believe,comply,prepare,chaste,fornicator,faithful,communicate,bag,floor,life,one,pray,ownership,white,month,glove,abandon,word,leave,wish,bury,disrespect,animal
1004904,like,band,own,really,time,very,about,day,rock,some,one,want,much,style,bad,get,tonight,punk,see,new,black,long,film,before,more,know,every,last,many,old,except,night,here,hell,people,maybe,today,fear,never,music,things,go,again,think,back,album,little,even,keep,saw,beautiful,good,war,oh,great,cool,dead,felt,indie,show,white,need,world,warsaw,violent,make,next,job,mean,find,girl,far,dvd,around,ill,well,tight,guy,mind,away,enough,please,take,way,down,fight,TRUE,behind,look,important,sometimes,hot,each,especially,love,choice,bear,wait,through,favorite
1009572,run,race,about,day,time,first,next,get,marathon,around,good,think,before,louis,some,back,go,down,after,long,mile,year,days,pace,like,know,finish,minutes,hit,fast,through,want,home,well,last,park,few,really,one,forest,distance,fun,able,keep,yesterday,way,strong,much,water,line,course,great,mi,front,place,over,hour,little,second,yeah,club,ill,treadmill,most,mileage,take,put,ever,push,cause,min,kind,finally,must,under,walk,enough,make,spirit,life,sure,report,work,very,ago,positive,begin,try,shuffle,bathroom,road,maybe,speed,lot,tonight,say,three,third,two,again
1013637,like,one,god,know,good,about,time,bless,well,think,really,get,go,never,some,today,day,right,ill,more,fun,people,cool,say,see,much,make,want,life,oh,last,need,love,things,here,night,back,song,way,even,school,after,ok,blog,great,over,stuff,before,ever,year,new,down,lot,maybe,kelly,first,two,come,better,take,very,guess,again,thing,though,long,man,mean,hope,yeah,bad,next,sorry,little,girl,tomorrow,awesome,feel,tonight,may,home,kinda,through,best,id,yesterday,summer,try,someone,funny,work,run,around,pretty,call,nothing,happy,person,sure,melissa
1019710,go,well,people,about,get,like,really,say,fun,project,world,cool,work,oh,back,one,see,around,show,school,over,think,guy,pretty,daniel,know,good,some,ok,chemistry,days,name,hopefully,finally,here,make,ill,funny,very,today,time,take,screen,want,week,mean,skit,new,ever,come,tomorrow,money,election,paper,even,down,much,last,bad,way,john,bush,done,year,job,best,awesome,cut,blog,boy,start,day,first,look,anyway,snow,tabor,live,life,yeah,hour,old,most,article,probably,movie,poker,crazy,must,guess,car,things,find,black,great,head,rich,die,more,sex
1022037,camp,time,back,after,day,some,like,one,before,today,more,days,go,down,last,first,long,things,well,new,again,saw,week,know,home,get,soon,few,hq,see,think,another,pretty,over,dinner,good,birthday,duty,about,rest,life,morning,really,work,much,say,take,most,red,even,early,thou,yesterday,next,way,almost,stuff,quite,cross,weekend,whole,hope,already,detail,here,finally,end,show,year,meet,people,need,blog,better,luckily,lunch,night,old,many,month,sunday,best,oh,lot,maybe,course,very,late,find,liao,fast,bus,army,right,friend,lava,tt,happy,may,esp
1029959,current,about,really,get,song,know,like,back,time,one,go,well,ill,more,after,night,want,last,new,some,very,see,good,down,two,right,today,day,need,again,think,things,game,much,say,computer,yeah,mood,great,blog,around,work,though,over,life,phone,here,first,before,lot,even,thing,little,way,finally,oh,days,school,feel,people,done,few,id,man,away,read,make,bed,through,happy,take,house,three,actually,god,post,look,love,another,tomorrow,anyway,long,nothing,bad,four,ago,dsl,problem,stuff,bit,instead,ever,end,online,cool,never,tonight,head,job,hard
1031806,back,about,like,get,really,time,one,some,around,go,more,well,after,over,love,think,house,know,much,again,people,night,day,way,last,school,first,see,home,right,down,good,before,though,today,mom,even,here,ill,life,later,yeah,oh,two,never,want,through,things,finally,say,work,minutes,thing,away,take,next,come,make,hour,id,post,little,car,almost,room,actually,stuff,group,computer,man,another,hours,fun,pretty,god,week,need,feel,tell,tomorrow,let,couple,new,most,morning,anyway,cause,dad,sleep,random,church,may,kinda,once,every,very,cool,tonight,ever,same
1039136,life,about,people,some,like,one,time,get,things,know,think,really,good,well,back,much,want,more,take,go,last,right,thing,make,way,ever,someone,most,see,girl,night,here,years,love,many,over,few,come,first,fuck,school,never,day,world,great,post,even,maybe,shit,need,look,away,though,new,around,find,party,through,live,feel,beer,after,sure,down,money,may,work,ill,point,year,bad,read,real,semester,house,nothing,best,before,big,person,say,little,hard,put,every,remember,crazy,fun,same,college,long,alive,write,yeah,end,pretty,keep,better,happy,song
1040084,day,people,like,time,know,about,want,really,feel,think,things,good,some,life,maybe,see,ill,more,yea,get,one,much,today,anyways,even,well,song,happy,quote,go,hope,make,remember,somebody,way,love,here,school,after,thought,say,first,never,great,need,come,tell,again,most,back,over,tomorrow,many,lot,write,right,new,stop,done,stupid,oh,keep,world,awesome,better,talk,last,fact,cool,car,might,days,wish,around,probably,every,wonder,ever,end,thing,down,change,yay,take,through,hang,person,care,family,moment,little,summer,nothing,stuff,pretty,fun,either,next,years,experience
1042993,about,really,new,back,more,know,blog,over,like,see,day,people,here,last,blogger,get,make,right,radio,want,post,may,go,much,finally,one,leo,days,show,must,after,very,love,italy,link,time,school,nick,german,well,call,actually,ill,name,network,little,some,email,test,italian,few,even,week,work,talk,computer,use,again,screen,look,help,today,latest,years,system,things,comment,logo,domain,bad,play,two,friday,entire,invasion,apple,away,site,give,tomorrow,feel,monday,tss,past,begin,army,windows,news,spanish,internet,june,english,understand,fan,phase,problem,fact,way,july,please
1045831,some,well,get,go,night,like,about,more,life,ok,good,things,time,work,home,know,one,drunk,last,back,people,little,day,see,love,thing,pretty,down,great,though,girl,way,fun,very,bar,say,think,after,man,real,weekend,party,shit,stuff,beer,want,class,here,right,nice,much,few,today,feel,house,really,over,peace,end,paul,start,put,bunch,probably,sleep,new,week,maybe,ill,lot,need,take,around,long,write,even,ever,later,try,tonight,alright,car,again,big,better,crazy,yeah,place,keep,school,hope,cool,drink,come,course,someone,find,make,look,next
1047241,like,one,about,some,time,very,people,more,really,good,school,well,two,know,get,much,think,go,day,bye,never,last,thing,today,right,most,english,even,ill,after,chinese,stupid,anyway,oh,see,over,first,every,actually,say,make,things,class,way,three,course,ever,maybe,quite,world,better,life,man,least,kind,little,want,bit,year,five,word,come,few,next,new,read,love,person,through,here,great,tomorrow,best,days,almost,id,another,lot,eat,girl,again,nice,enough,years,talk,american,big,down,test,away,teacher,many,bad,probably,though,before,favourite,nothing,football,might
1066127,link,like,more,one,some,make,new,about,see,good,time,much,two,minutes,another,really,piracy,things,after,pretty,over,well,site,most,work,take,many,next,even,wonder,people,run,get,through,before,though,put,first,show,ill,go,back,week,linux,kind,years,however,night,end,think,use,know,engine,both,around,version,lot,home,party,web,find,man,name,recently,hard,long,system,sugar,hopefully,last,way,need,few,company,internet,once,down,soon,great,snow,computer,patent,thing,movie,point,machine,here,management,nothing,actually,become,quite,apple,software,big,windows,able,family,again,small
106651,like,about,know,one,people,get,time,back,think,some,go,good,really,see,here,well,day,more,right,last,work,way,blog,ill,little,say,new,again,down,want,night,home,today,make,around,much,need,two,things,over,sure,feel,pretty,anyway,life,even,before,first,oh,song,stick,love,bus,ever,never,morning,every,take,after,come,thing,school,probably,look,man,big,place,page,years,okay,site,great,movie,guess,through,better,nothing,someone,next,away,world,find,most,many,found,tonight,sarah,far,car,thought,head,show,chicago,almost,best,tell,few,hell,another,long
106738,one,like,last,back,some,get,know,more,go,little,page,well,even,way,very,time,here,oh,good,really,few,about,people,down,see,much,new,ill,after,over,night,first,life,two,most,might,never,today,another,look,again,read,ie,post,days,around,find,place,miss,someone,finally,week,ireland,great,before,old,bad,room,day,ever,enough,right,long,mention,may,quiz,site,name,play,er,laptop,computer,news,tomorrow,work,maybe,say,message,pc,irish,shit,nothing,want,cool,red,such,rather,stuff,same,once,yesterday,think,song,pub,least,god,actually,through,put,hours
1068622,go,boston,movie,know,some,more,people,blog,one,believe,need,better,hours,world,get,think,try,say,new,pretty,day,see,want,like,never,first,simply,plot,here,about,today,happen,productive,give,age,right,incredible,little,quick,well,before,benton,behind,body,end,latest,conclusion,blogger,fact,best,way,much,great,rest,website,war,ice,grow,every,after,even,obvious,special,pat,hell,night,gain,stupid,argument,ultimately,except,quite,stuff,piccolo,good,care,wait,tech,lighten,google,favorite,heath,logic,neo,account,greatest,let,apparently,done,write,basically,ever,bird,hope,send,already,conclude,independence,disagree,instead
1068893,about,time,get,night,back,good,like,car,some,one,go,day,work,friend,over,last,today,here,know,see,really,new,well,after,tonight,think,home,more,weekend,very,down,around,again,though,make,first,week,bit,tomorrow,want,ill,few,even,morning,things,right,before,another,pretty,party,call,way,place,little,people,much,say,thing,need,sleep,maybe,great,next,house,couple,bed,long,through,hours,come,oh,saturday,trip,take,almost,sunday,sure,thought,ok,feel,talk,end,done,lunch,old,lot,two,post,already,school,never,drive,dinner,kind,nice,year,movie,hour,town,guy
1074721,rhea,well,one,anyway,next,today,girl,train,time,film,get,around,really,about,years,see,life,each,know,like,new,first,though,number,calcutta,mother,boy,rest,movie,post,sunday,love,come,nothing,story,day,again,find,good,resolution,hi,ok,great,after,another,help,account,blog,here,york,later,friend,hard,some,try,urban,best,together,amsterdam,dark,catch,crush,job,delhi,keep,people,journey,role,college,rani,hum,town,most,long,second,punjabi,lot,back,give,experience,done,deposit,online,cartoon,school,note,before,straight,level,submit,ticket,days,three,both,storyline,thing,part,gore,halo,min
1075230,like,one,some,time,well,people,get,go,really,about,school,think,much,more,year,good,ill,first,today,day,last,back,oh,around,even,know,after,see,work,thing,right,pretty,post,fun,again,things,night,before,cause,want,though,ne,down,hope,here,say,next,long,actually,feel,guess,kinda,stuff,try,better,found,over,done,anime,home,most,take,two,blog,new,maybe,very,cool,dad,sure,way,room,sigh,week,might,come,thought,another,house,yesterday,need,later,many,make,id,almost,lot,sorry,late,few,ok,half,little,bad,soon,finish,course,life,probably,ur
1077758,like,work,some,well,about,go,today,day,get,around,know,one,people,time,good,much,thing,see,want,little,back,sure,id,pretty,right,even,first,say,least,down,class,things,own,home,ill,tell,think,way,really,come,last,same,through,car,here,days,school,away,actually,maybe,sherry,oh,over,somebody,again,every,take,probably,far,hope,tomorrow,life,man,jesus,store,head,black,after,nothing,already,write,before,more,might,mom,week,read,old,fact,crap,somewhere,god,hours,okay,couple,stuff,year,most,yeah,almost,world,feel,weekend,human,great,customer,put,live,woman,mike
1078410,well,good,news,like,some,one,new,more,about,get,see,great,anime,say,people,here,much,bush,time,site,stuff,think,things,government,many,go,need,such,though,most,want,love,better,game,know,even,least,sure,first,course,way,oh,hope,really,man,id,look,read,thing,may,done,best,show,support,over,check,soon,anyway,network,very,bad,back,cool,try,work,pretty,free,net,give,take,japan,film,book,buy,maybe,few,iran,again,nice,today,day,tv,another,war,right,last,school,country,make,believe,state,movie,dvd,let,tax,money,year,little,watch,help
1086405,people,get,about,some,like,more,one,things,asian,know,time,good,well,think,thing,quite,see,really,right,go,life,world,work,want,little,back,much,make,most,first,here,day,guy,say,after,great,hope,two,best,another,men,need,down,around,new,way,let,god,today,bad,again,last,very,though,someone,better,few,feel,pretty,anyway,even,may,job,place,nothing,own,fun,over,wrong,movie,white,ill,oh,take,person,never,korean,matter,before,folks,put,sure,rest,lot,family,nice,find,understand,okay,end,look,many,show,realize,friend,done,kind,keep,enough,part
1093457,well,get,about,like,good,go,today,one,really,day,some,think,know,people,see,work,more,much,time,back,blog,very,say,anyway,days,tom,fun,school,want,last,come,need,bit,nice,week,way,quite,night,cheese,tomorrow,yay,even,oh,down,stuff,again,next,over,here,ill,thing,after,new,though,max,cause,home,actually,around,things,make,right,first,nothing,hope,paul,done,ok,park,look,great,probably,take,most,never,cos,boo,morning,before,yesterday,happy,lot,bad,few,cool,better,talk,love,long,life,maybe,sorry,put,party,thought,sure,away,half,music,may
1093691,well,get,about,like,good,go,today,one,really,day,some,think,know,people,see,work,more,much,time,back,blog,very,say,anyway,days,tom,fun,school,want,last,come,need,bit,nice,week,way,quite,night,cheese,tomorrow,yay,even,oh,down,stuff,again,next,over,here,ill,thing,after,new,though,max,cause,home,actually,around,things,make,right,first,nothing,hope,paul,done,ok,park,look,great,probably,take,most,never,cos,boo,morning,before,yesterday,happy,lot,bad,few,cool,better,talk,love,long,life,maybe,sorry,put,party,thought,sure,away,half,music,may
1098293,think,time,quite,some,more,really,like,well,feel,first,anyway,one,good,very,actually,after,wonder,job,work,get,money,liao,last,week,least,dun,day,people,even,same,over,year,much,dinner,may,many,end,ok,again,hard,life,hopefully,online,next,small,take,enough,wow,os,tot,project,want,past,need,know,usual,long,every,different,game,thing,fact,motivation,ca,finally,must,make,most,hope,things,guess,try,problem,failure,research,bad,tough,here,house,earn,back,today,morning,rather,effort,pass,mean,play,go,place,recently,give,plus,worth,days,perhaps,march,never,mind,show
1098541,well,one,get,like,know,really,think,go,about,blog,people,good,love,here,time,fun,want,see,new,today,ill,thing,right,some,say,way,back,much,need,life,very,day,little,things,post,look,windows,ok,happy,more,over,never,though,school,oh,ever,nothing,feel,stuff,even,come,cool,down,away,another,work,haley,again,anyway,tell,last,week,great,talk,bad,actually,put,awesome,bye,mac,hope,computer,take,faulkner,yay,sorry,nice,long,world,miss,make,give,let,better,use,call,pm,night,someone,first,pretty,email,maybe,most,may,show,stupid,year,yeah,dad
1102011,well,like,la,school,life,after,man,some,today,get,back,really,know,people,about,class,go,fuck,tuition,guess,day,kinda,here,one,sometimes,stupid,damn,over,blog,even,already,love,anne,say,more,hate,though,again,teacher,days,cute,morning,way,time,right,see,stuff,nice,much,talk,fun,home,sleep,almost,someone,good,whole,real,bad,nothing,feel,test,want,crap,cool,felt,god,think,tomorrow,finally,mom,take,year,down,few,paper,yesterday,bathe,bitch,last,phone,shit,through,ooh,ill,next,friend,crazy,late,actually,maths,pretty,girl,plenty,before,song,thing,change,rain,calculus
1103016,movement,strength,hit,maximum,defence,today,two,again,red,yellow,green,girl,down,level,different,back,blue,pet,change,defense,cute,guy,one,female,cloud,fire,gain,sweet,buzz,brown,get,male,shadow,week,coconut,boy,disco,faerie,okay,flotsam,merry,great,original,starry,ahem,hurl,cool,write,better,guess,np,think,species,million,boost,finally,here,agility,trend,day,bruce,happy,first,lose,ew,past,short,five,worthwhile,well,colour,blast,gold,color,wow,school,image,awesome,far,shiver,wahoo,beach,already,christmas,desert,poop,shoot,manhood,funny,try,live,forget,turn,make,freak,happen,stripe,go,sex,glow
1104980,helen,after,time,some,one,back,last,very,good,about,get,id,well,today,like,go,people,first,think,night,much,though,little,down,great,bangor,over,before,day,feel,bit,new,room,see,lot,around,nice,week,ill,round,home,few,test,thing,big,again,way,know,bike,morning,really,club,long,job,ride,course,chaplaincy,another,stuff,days,more,rather,oh,bed,hamster,felt,outside,someone,five,enough,yesterday,give,hour,late,however,leave,front,two,saw,actually,saddam,maybe,point,pc,chance,london,ruth,iraq,right,tomorrow,even,work,war,cage,same,stop,fun,news,next,best
1107975,today,school,like,one,well,day,know,theatre,ok,good,much,fun,around,go,stupid,anyways,back,try,more,bad,worse,things,door,troupe,enough,ill,though,sore,again,home,year,touch,want,really,overall,wind,stand,right,normal,show,two,later,time,better,high,entire,hopefully,anyway,yay,pretty,id,headache,say,over,inside,see,everyday,ask,girl,lot,traffic,thing,house,walk,faster,barely,girlfriend,cafeteria,basically,brilliant,eat,some,mess,hang,weekend,learn,write,account,myth,upload,paint,very,wing,skin,hell,ride,post,evidently,head,minutes,info,hour,play,short,morning,sick,space,care,plus,little
110854,london,about,tube,another,people,place,few,map,see,around,reason,like,get,really,job,some,middle,well,head,id,go,time,correct,impression,road,little,town,yesterday,move,small,page,show,day,train,past,give,man,experience,quick,big,every,one,through,new,room,underground,somewhere,late,honest,chance,line,problem,never,join,success,mystery,happy,free,ade,hooray,night,drink,bonus,quieter,fringe,hours,done,instead,theatre,street,geographically,wed,finish,hope,despite,even,very,gatehouse,half,probably,edinburgh,crazy,square,family,own,stir,idea,want,next,perspective,backwards,station,someone,nice,kinda,here,strange,equally,year,plenty
1110189,new,site,back,work,well,here,legacy,ill,story,keep,few,net,page,gulf,segment,design,make,squadron,continuum,time,cf,two,couple,get,about,next,week,part,email,more,done,nimitz,over,within,probably,very,through,much,progress,actually,some,access,before,home,hope,section,easier,dead,quite,figure,read,mode,flight,iraqi,like,oh,meantime,carrier,future,rest,post,different,spectator,operations,past,soon,first,simply,continue,subspace,operation,look,start,finally,found,online,nickname,ftp,sometime,know,check,constant,format,last,news,help,plant,domain,play,speed,think,right,three,lack,ok,world,fun,mind,may,send
1115374,like,one,about,know,think,time,get,really,go,some,well,back,good,day,love,want,people,much,little,life,remember,down,see,say,great,way,more,night,lot,after,meg,every,around,today,blog,right,last,mean,ill,kid,most,thing,bike,long,things,pretty,over,ride,write,someone,here,girl,thought,mountain,fun,nothing,end,take,away,first,days,school,feel,make,oh,home,awesome,house,find,look,may,through,even,person,couple,another,summer,before,tell,try,dew,two,head,tennis,need,start,week,crazy,mind,each,weird,work,part,maybe,probably,stupid,new,year,actually,world
1117656,about,well,good,some,go,things,very,like,god,time,think,get,really,more,here,see,one,know,thing,today,little,bob,life,way,day,people,oh,ill,remember,write,through,work,jesus,make,new,say,much,need,quite,fun,look,before,over,want,after,farm,reason,probably,must,long,fire,bed,around,mom,right,night,whatever,love,church,stuff,kind,many,tomorrow,actually,tell,feel,even,rod,dad,come,back,home,put,lot,nice,let,angry,house,perhaps,anyway,again,might,old,sin,hope,better,down,wonderful,take,give,most,world,call,lord,never,become,every,book,first,cute
